date,symbol,reportedCurrency,cik,filingDate,acceptedDate,fiscalYear,period,revenue,costOfRevenue,grossProfit,researchAndDevelopmentExpenses,generalAndAdministrativeExpenses,sellingAndMarketingExpenses,sellingGeneralAndAdministrativeExpenses,otherExpenses,operatingExpenses,costAndExpenses,netInterestIncome,interestIncome,interestExpense,depreciationAndAmortization,ebitda,ebit,nonOperatingIncomeExcludingInterest,operatingIncome,totalOtherIncomeExpensesNet,incomeBeforeTax,incomeTaxExpense,netIncomeFromContinuingOperations,netIncomeFromDiscontinuedOperations,otherAdjustmentsToNetIncome,netIncome,netIncomeDeductions,bottomLineNetIncome,eps,epsDiluted,weightedAverageShsOut,weightedAverageShsOutDil
2025-12-31,UBER,USD,0001543151,2026-02-13,2026-02-13 16:08:17,2025,Q4,14366000000,8681000000,5685000000,885000000,732000000,1354000000,2086000000,940000000,3911000000,12592000000,85000000,200000000,115000000,185000000,591000000,406000000,1368000000,1774000000,-1483000000,291000000,-26000000,317000000,0,0,296000000,0,296000000,0.14,0.14,2073483000,2106011000
2025-09-30,UBER,USD,0001543151,2025-11-04,2025-11-04 16:04:41,2025,Q3,13467000000,8109000000,5358000000,862000000,1183000000,1277000000,2460000000,923000000,4245000000,12354000000,81000000,193000000,112000000,195000000,2927000000,2732000000,-1619000000,1113000000,1493000000,2606000000,-4046000000,6652000000,0,0,6626000000,13000000,6626000000,3.18,3.11,2084180000,2124391000
2025-06-30,UBER,USD,0001543151,2025-08-06,2025-08-06 16:07:50,2025,Q2,12651000000,7611000000,5040000000,840000000,669000000,1210000000,1879000000,871000000,3590000000,11201000000,73000000,181000000,108000000,181000000,1793000000,1612000000,-162000000,1450000000,42000000,1492000000,142000000,1350000000,0,0,1355000000,14000000,1341000000,0.65,0.63,2091781000,2124181000
2025-03-31,UBER,USD,0001543151,2025-05-07,2025-05-07 16:07:17,2025,Q1,11533000000,6937000000,4596000000,815000000,657000000,1057000000,1714000000,839000000,3368000000,10305000000,64000000,169000000,105000000,178000000,1668000000,1490000000,-262000000,1228000000,144000000,1372000000,-402000000,1774000000,0,0,1776000000,13000000,1763000000,0.85,0.83,2092464000,2122618000
2024-12-31,UBER,USD,0001543151,2025-02-14,2025-02-14 16:06:34,2024,Q4,11959000000,7234000000,4725000000,785000000,1114000000,1209000000,2323000000,847000000,3955000000,11189000000,74000000,191000000,117000000,176000000,1202000000,1026000000,-256000000,770000000,129000000,899000000,-6002000000,6901000000,0,0,6883000000,1000000,6882000000,3.27,3.21,2105899000,2141426000
2024-09-30,UBER,USD,0001543151,2024-10-31,2024-10-31 16:06:41,2024,Q3,11188000000,6761000000,4427000000,774000000,630000000,1096000000,1726000000,866000000,3366000000,10127000000,52000000,195000000,143000000,186000000,3098000000,2912000000,-1851000000,1061000000,1696000000,2757000000,158000000,2599000000,0,0,2612000000,18000000,2594000000,1.24,1.2,2101660000,2154466000
2024-06-30,UBER,USD,0001543151,2024-08-06,2024-08-06 16:09:28,2024,Q2,10700000000,6488000000,4212000000,760000000,686000000,1115000000,1801000000,855000000,3416000000,9904000000,37000000,176000000,139000000,181000000,1397000000,1216000000,-420000000,796000000,269000000,1065000000,57000000,1008000000,0,0,1015000000,14000000,1001000000,0.49,0.47,2092179999,2150019000
2024-03-31,UBER,USD,0001543151,2024-05-08,2024-05-08 16:04:16,2024,Q1,10131000000,6168000000,3963000000,790000000,1209000000,917000000,2126000000,875000000,3791000000,9959000000,35000000,159000000,124000000,194000000,-312000000,-506000000,678000000,172000000,-806000000,-634000000,29000000,-663000000,0,0,-654000000,16000000,-670000000,-0.31,-0.32,2078467000,2080168000
2023-12-31,UBER,USD,0001543151,2024-02-15,2024-02-15 16:30:29,2023,Q4,9936000000,6057000000,3879000000,784000000,603000000,935000000,1538000000,905000000,3227000000,9284000000,5000000,160000000,155000000,203000000,2186000000,1983000000,-1331000000,652000000,1181000000,1833000000,133000000,1700000000,0,0,1429000000,20000000,1409000000,0.68,0.66,2060885000,2121929000
2023-09-30,UBER,USD,0001543151,2023-11-07,2023-11-07 16:08:11,2023,Q3,9292000000,5626000000,3666000000,797000000,646000000,941000000,1587000000,888000000,3272000000,8898000000,-36000000,130000000,166000000,205000000,547000000,342000000,52000000,394000000,-215000000,179000000,-40000000,219000000,0,0,221000000,13000000,208000000,0.0981,0.0986,2044688000,2108479000
2023-06-30,UBER,USD,0001543151,2023-08-02,2023-08-02 16:07:32,2023,Q2,9230000000,5515000000,3715000000,808000000,491000000,1218000000,1709000000,872000000,3389000000,8904000000,-37000000,107000000,144000000,208000000,807000000,599000000,-273000000,326000000,133000000,459000000,65000000,394000000,0,0,394000000,13000000,381000000,0.19,0.18,2026813000,2079265000
2023-03-31,UBER,USD,0001543151,2023-05-03,2023-05-03 16:06:08,2023,Q1,8823000000,5259000000,3564000000,775000000,942000000,1262000000,2204000000,847000000,3826000000,9085000000,-81000000,87000000,168000000,207000000,237000000,30000000,-292000000,-262000000,160000000,-102000000,55000000,-157000000,0,0,-157000000,0,-157000000,-0.0781,-0.0781,2009557000,2009557000
2022-12-31,UBER,USD,0001543151,2023-02-21,2023-02-21 16:10:08,2022,Q4,8607000000,5307000000,3300000000,747000000,745000000,1122000000,1867000000,828000000,3442000000,8749000000,-78000000,73000000,151000000,223000000,848000000,625000000,-767000000,-142000000,658000000,516000000,-84000000,600000000,0,0,595000000,0,595000000,0.3,0.29,1994800000,2060574999
2022-09-30,UBER,USD,0001543151,2022-11-02,2022-11-02 16:15:18,2022,Q3,8343000000,5173000000,3170000000,760000000,908000000,1153000000,2061000000,844000000,3665000000,8838000000,-108000000,38000000,146000000,227000000,-803000000,-1030000000,535000000,-495000000,-651000000,-1146000000,58000000,-1204000000,0,0,-1206000000,0,-1206000000,-0.61,-0.61,1979299000,1979299000
2022-06-30,UBER,USD,0001543151,2022-08-04,2022-08-04 17:07:27,2022,Q2,8073000000,5153000000,2920000000,704000000,851000000,1218000000,2069000000,860000000,3633000000,8786000000,-122000000,17000000,139000000,243000000,-2174000000,-2417000000,1704000000,-713000000,-1826000000,-2539000000,77000000,-2616000000,0,0,-2601000000,12000000,-2601000000,-1.32,-1.32,1964304000,1968882000
2022-03-31,UBER,USD,0001543151,2022-05-05,2022-05-05 16:07:20,2022,Q1,6854000000,4026000000,2828000000,587000000,632000000,1263000000,1895000000,828000000,3310000000,7336000000,-118000000,11000000,129000000,258000000,-5785000000,-6039000000,5557000000,-482000000,-5668000000,-6150000000,-232000000,-5918000000,0,0,-5936000000,13000000,-5930000000,-3.04,-3.03,1953989000,1957731000
2021-12-31,UBER,USD,0001543151,2022-02-24,2022-02-24 16:33:34,2021,Q4,5778000000,3104000000,2674000000,558000000,611000000,1262000000,1873000000,793000000,3224000000,6328000000,-121000000,9000000,130000000,246000000,1167000000,921000000,-1471000000,-550000000,1332000000,782000000,-97000000,879000000,0,0,892000000,0,892000000,0.46,0.44,1936736000,2005591000
2021-09-30,UBER,USD,0001543151,2021-11-09,2021-11-09 15:17:43,2021,Q3,4845000000,2438000000,2407000000,493000000,625000000,1168000000,1793000000,693000000,2979000000,5417000000,-113000000,10000000,123000000,218000000,-2186000000,-2404000000,1832000000,-572000000,-1968000000,-2540000000,-101000000,-2439000000,0,0,-2424000000,0,-2424000000,-1.28,-1.28,1893750000,1898954000
2021-06-30,UBER,USD,0001543151,2021-08-05,2021-08-05 16:12:54,2021,Q2,3929000000,2099000000,1830000000,488000000,616000000,1256000000,1872000000,658000000,3018000000,5117000000,-102000000,13000000,115000000,226000000,981000000,755000000,-1943000000,-1188000000,1821000000,633000000,-479000000,1112000000,0,0,1144000000,4000000,1144000000,0.61,0.58,1875156000,1955975000
2021-03-31,UBER,USD,0001543151,2021-05-06,2021-05-06 16:23:37,2021,Q1,2903000000,1710000000,1193000000,515000000,464000000,1103000000,1567000000,635000000,2717000000,4427000000,-110000000,5000000,115000000,212000000,398000000,186000000,-1710000000,-1524000000,1587000000,63000000,185000000,-122000000,0,0,-108000000,0,-108000000,-0.06,-0.0581,1800000000,1858525000
2020-12-31,UBER,USD,0001543151,2021-03-01,2021-03-01 08:06:48,2020,Q4,3165000000,1638000000,1527000000,538000000,254000000,1017000000,1271000000,595000000,2404000000,4042000000,-114000000,4000000,118000000,180000000,-634000000,-814000000,-63000000,-877000000,-62000000,-939000000,23000000,-962000000,0,0,-968000000,0,-968000000,-0.54,-0.54,1784007997,1793084000
2020-09-30,UBER,USD,0001543151,2020-11-06,2020-11-06 16:07:46,2020,Q3,2813000000,1663000000,1150000000,493000000,711000000,924000000,1635000000,138000000,2266000000,3929000000,-105000000,7000000,112000000,138000000,-827000000,-965000000,-151000000,-1116000000,31000000,-1085000000,23000000,-1108000000,0,0,-1089000000,0,-1089000000,-0.62,-0.62,1755029000,1755029000
2020-06-30,UBER,USD,0001543151,2020-08-07,2020-08-07 16:29:33,2020,Q2,1913000000,1319000000,594000000,584000000,546000000,736000000,1282000000,335000000,2201000000,3520000000,-104000000,6000000,110000000,129000000,-1522000000,-1651000000,44000000,-1607000000,-161000000,-1768000000,4000000,-1772000000,0,0,-1775000000,0,-1775000000,-1.02,-1.02,1738897000,1738897000
2020-03-31,UBER,USD,0001543151,2020-05-08,2020-05-08 16:56:27,2020,Q1,3248000000,1994000000,1254000000,645000000,666000000,885000000,1551000000,321000000,2517000000,4511000000,-80000000,38000000,118000000,128000000,-2930000000,-3058000000,1795000000,-1263000000,-1925000000,-3188000000,-242000000,-2946000000,0,0,-2936000000,0,-2936000000,-1.7,-1.7,1724367000,1724367000
2019-12-31,UBER,USD,0001543151,2020-03-02,2020-03-02 16:12:35,2019,Q4,4069000000,1927000000,2142000000,608000000,647000000,1251000000,1898000000,607000000,3113000000,5040000000,-51000000,50000000,101000000,101000000,-855000000,-956000000,-15000000,-971000000,-95000000,-1066000000,25000000,-1091000000,0,0,-1096000000,0,-1096000000,-0.64,-0.64,1710260000,1710260000
2019-09-30,UBER,USD,0001543151,2019-11-05,2019-11-05 16:58:34,2019,Q3,3813000000,1860000000,1953000000,755000000,591000000,1113000000,1704000000,600000000,3059000000,4919000000,-14000000,76000000,90000000,102000000,-955000000,-1057000000,-49000000,-1106000000,-50000000,-1156000000,3000000,-1159000000,0,0,-1162000000,0,-1162000000,-0.68,-0.68,1700213000,1700213000
2019-06-30,UBER,USD,0001543151,2019-08-09,2019-08-09 16:21:21,2019,Q2,3166000000,1740000000,1426000000,3064000000,1638000000,1222000000,2860000000,987000000,6911000000,8651000000,-87000000,64000000,151000000,123000000,-4964000000,-5087000000,-398000000,-5485000000,237000000,-5248000000,-2000000,-5246000000,0,0,-5236000000,0,-5236000000,-4.71,-4.71,1109322033,1110704000
2019-03-31,UBER,USD,0001543151,2019-06-04,2019-06-03 20:32:11,2019,Q1,3099000000,1681000000,1418000000,409000000,423000000,1040000000,1463000000,580000000,2452000000,4133000000,-173000000,44000000,217000000,146000000,-628000000,-774000000,-260000000,-1034000000,37000000,-997000000,19000000,-1016000000,0,0,-1012000000,12000000,-1024000000,-0.6,-0.61,1676959021,1676959021
2018-12-31,UBER,USD,0001543151,2018-12-31,2018-12-30 19:00:00,2018,Q4,2974000000,1615000000,1359000000,366000000,555000000,974000000,1529000000,517000000,2412000000,4027000000,-160000000,35000000,195000000,109000000,-897000000,-1006000000,-47000000,-1053000000,-158000000,-1211000000,-322000000,-889000000,0,0,-887000000,0,-887000000,-0.53,-0.53,1676959021,1676959021
2018-09-30,UBER,USD,0001543151,2018-09-30,2018-09-29 20:00:00,2018,Q3,2944000000,1510000000,1434000000,434000000,460000000,785000000,1245000000,518000000,2197000000,3707000000,-134000000,27000000,161000000,131000000,-686000000,-817000000,54000000,-763000000,-230000000,-993000000,1000000,-994000000,0,0,-986000000,0,-986000000,-0.58,-0.58,1700213000,1700213000
2018-06-30,UBER,USD,0001543151,2018-06-30,2018-06-29 20:00:00,2018,Q2,2768000000,1342000000,1426000000,365000000,638000000,715000000,1353000000,447000000,2165000000,3507000000,-136000000,24000000,160000000,98000000,-578000000,-676000000,-63000000,-739000000,-111000000,-850000000,28000000,-878000000,0,0,-878000000,10000000,-888000000,-0.52,-0.52,1700213000,1700213000
2018-03-31,UBER,USD,0001543151,2018-03-31,2018-03-31 00:00:00,2018,Q1,2584000000,1156000000,1428000000,340000000,429000000,677000000,1106000000,460000000,1906000000,3062000000,-114000000,18000000,132000000,88000000,4547000000,4459000000,-4937000000,-478000000,4802000000,4324000000,576000000,3748000000,0,0,3748000000,0,876000000,0.52,0.52,1700213000,1700213000
2017-12-31,UBER,USD,0001543151,2017-12-31,2017-12-30 19:00:00,2017,Q4,2441000000,1686000000,755000000,320000000,0,0,1632000000,0,1952000000,3638000000,-132000000,0,132000000,120000000,-1046000000,-1166000000,-31000000,-1197000000,-101000000,-1298000000,-655000000,-643000000,0,0,-643000000,0,-643000000,-0.38,-0.38,1682521965,1682521965
2017-09-30,UBER,USD,0001543151,2017-09-30,2017-09-29 20:00:00,2017,Q3,2149000000,1688000000,461000000,307000000,0,0,1309000000,0,1616000000,3304000000,-123000000,0,123000000,140000000,-1110000000,-1250000000,95000000,-1155000000,-218000000,-1373000000,40000000,-1413000000,0,0,-1413000000,0,-1413000000,-0.84,-0.84,1682521965,1682521965
2017-06-30,UBER,USD,0001543151,2017-06-30,2017-06-29 20:00:00,2017,Q2,1813000000,1408000000,405000000,304000000,0,0,1011000000,0,1315000000,2723000000,-115000000,0,115000000,129000000,-769000000,-898000000,-12000000,-910000000,-103000000,-1013000000,37000000,-1050000000,0,0,-1050000000,0,-1050000000,-0.62,-0.62,1682521965,1682521965
2017-03-31,UBER,USD,0001543151,2017-03-31,2017-03-30 20:00:00,2017,Q1,1529000000,1242000000,287000000,270000000,0,0,835000000,0,1105000000,2347000000,-109000000,0,109000000,121000000,-661000000,-782000000,-36000000,-818000000,-73000000,-891000000,36000000,-927000000,0,0,-927000000,0,-927000000,-0.55,-0.55,1682521965,1682521965
